Year,Group,Source,Generation_GWh,Visual_Hint
2007,Public Sector,Nuclear & Hydro,8000,Initial_Base (Was 45k)
2007,Private Sector,Solar,200,Hidden_Start
2007,IPP,Wind,500,Minor_Start
2012,Public Sector,Nuclear & Hydro,7500,Steady_Decline
2012,Private Sector,Solar,1800,Rising
2012,IPP,Wind,1200,Minor_Rise
2019,Public Sector,Nuclear & Hydro,4500,Declining
2019,Private Sector,Solar,9500,☀️ 2019 Turning Point (Now > Public)
2019,IPP,Wind,4000,Steady_Rise
2023,Public Sector,Nuclear & Hydro,2800,Minimal
2023,Private Sector,Solar,12000,Market_Leader
2023,IPP,Wind,13500,🚀 2023 IPP Overtake (Now > Private)
2026,Public Sector,Nuclear & Hydro,1800,minimal
2026,Private Sector,Solar,19500,Target_Peak
2026,IPP,Wind,17500,Strong_Second
