日期(年/月),單位,全國發電量_總計(數值),全國發電量_抽蓄水力(數值),全國發電量_火力_合計(數值),全國發電量_火力_燃煤(數值),全國發電量_火力_燃油(數值),全國發電量_火力_燃氣(數值),全國發電量_核能(數值),全國發電量_再生能源_合計(數值),全國發電量_再生能源_慣常水力(數值),全國發電量_再生能源_地熱(數值),全國發電量_再生能源_太陽光電(數值),全國發電量_再生能源_風力(數值),全國發電量_再生能源_生質能(數值),全國發電量_再生能源_廢棄物(數值),台電發電量_合計(數值),台電發電量_抽蓄水力(數值),台電發電量_火力_小計(數值),台電發電量_火力_燃煤(數值),台電發電量_火力_燃油(數值),台電發電量_火力_燃氣(數值),台電發電量_核能(數值),台電發電量_再生能源_小計(數值),台電發電量_再生能源_慣常慣常水力(數值),台電發電量_再生能源_地熱(數值),台電發電量_再生能源_太陽光電(數值),台電發電量_再生能源_風力(數值),民營電廠發電量_合計(數值),民營電廠發電量_火力_小計(數值),民營電廠發電量_火力_燃煤(數值),民營電廠發電量_火力_燃氣(數值),民營電廠發電量_再生能源_小計(數值),民營電廠發電量_再生能源_慣常水力(數值),民營電廠發電量_再生能源_地熱(數值),民營電廠發電量_再生能源_太陽光電(數值),民營電廠發電量_再生能源_風力(數值),自用發電設備發電量_合計(數值),自用發電設備發電量_火力_小計(數值),自用發電設備發電量_火力_燃煤(數值),自用發電設備發電量_火力_燃油(數值),自用發電設備發電量_火力_燃氣(數值),自用發電設備發電量_再生能源_小計(數值),自用發電設備發電量_再生能源_慣常水力(數值),自用發電設備發電量_再生能源_地熱(數值),自用發電設備發電量_再生能源_太陽光電(數值),自用發電設備發電量_再生能源_風力(數值),自用發電設備發電量_再生能源_生質能(數值),自用發電設備發電量_再生能源_廢棄物(數值)
200701,百萬度,18636.98146,328.19128,13842.79471,9768.068955,1376.05486,2698.670899,3823.3368,642.658662,251.243717,0,0.143,73.531037,25.504463,292.236445,12077.45456,328.19128,7629.917177,5210.82913,966.819147,1452.2689,3823.3368,296.009299,248.683757,0,0,47.325542,2782.536438,2755.817725,1562.01539,1193.802335,26.718713,2.55996,0,0,24.158753,3776.990462,3457.059812,2995.224435,409.235713,52.599664,319.93065,0,0,0.143,2.046742,25.504463,292.236445
200702,百萬度,15853.81093,280.32328,11856.84387,8441.752993,1257.701734,2157.389142,3171.9476,544.696177,222.860339,0,0.146,34.845063,24.025906,262.818869,10551.8074,280.32328,6858.474271,4729.38637,890.932014,1238.155887,3171.9476,241.062248,216.675779,0,0,24.386469,2062.094853,2046.454441,1182.21014,864.244301,15.640412,6.18456,0,0,9.455852,3239.908674,2951.915157,2530.156483,366.76972,54.988954,287.993517,0,0,0.146,1.002742,24.025906,262.818869
200703,百萬度,19241.42278,316.28044,15012.72327,10394.69624,1253.930808,3364.09622,3254.9308,657.488267,304.734103,0,0.149,40.499739,30.337441,281.767984,12540.3209,316.28044,8646.820821,5650.427481,873.312254,2123.081086,3254.9308,322.288835,295.669203,0,0,26.619632,2893.541918,2871.653091,1691.717842,1179.935249,21.888827,9.0649,0,0,12.823927,3807.559962,3494.249357,3052.550918,380.618554,61.079885,313.310605,0,0,0.149,1.05618,30.337441,281.767984
200704,百萬度,18762.23582,329.04848,14684.15146,10354.5285,969.900146,3359.722812,3082.3258,666.710084,387.173948,0,0.155,32.230151,25.371615,221.77937,12676.71818,329.04848,8863.683441,5854.844055,650.252773,2358.586613,3082.3258,401.660463,380.696248,0,0,20.964215,2500.596969,2483.793484,1543.29769,940.495794,16.803485,6.4777,0,0,10.325785,3584.920666,3336.67453,2956.386752,319.647373,60.640405,248.246136,0,0,0.155,0.940151,25.371615,221.77937
200705,百萬度,21402.67043,365.78188,17087.90735,11370.25151,1415.374169,4302.281667,3275.744,673.2372,394.887407,0,0.168,13.966636,25.161984,239.053173,14195.89567,365.78188,10156.96302,6311.916514,1043.461931,2801.584575,3275.744,397.406774,389.079709,0,0,8.327065,3396.131206,3385.045983,1953.347971,1431.698012,11.085223,5.807698,0,0,5.277525,3810.643545,3545.898342,3104.987024,371.912238,68.99908,264.745203,0,0,0.168,0.362046,25.161984,239.053173
200706,百萬度,21630.89818,342.34868,16891.24773,11248.66632,1391.17154,4251.40987,3651.7146,745.587168,431.199483,0,0.168,14.587529,24.237239,275.394917,14411.57745,342.34868,9984.308055,6207.375853,946.752865,2830.179337,3651.7146,433.206111,425.110339,0,0,8.095772,3365.236942,3352.957841,1987.957345,1365.000496,12.279101,6.089144,0,0,6.189957,3854.083788,3553.981832,3053.33312,444.418675,56.230037,300.101956,0,0,0.168,0.3018,24.237239,275.394917
200707,百萬度,24213.66375,341.34024,19388.81774,11856.91953,1991.895618,5540.002593,3729.192,754.313773,409.236796,0,0.17,17.251918,25.975252,301.679807,16405.34229,341.34024,11930.13076,6654.077827,1546.021007,3730.031924,3729.192,404.679293,395.942536,0,0,8.736757,3854.275598,3833.003171,2091.408099,1741.595072,21.272427,13.29426,0,0,7.978167,3954.045864,3625.683811,3111.433603,445.874611,68.375597,328.362053,0,0,0.17,0.536994,25.975252,301.679807
200708,百萬度,22784.41948,314.9382,17976.29928,12027.91425,1482.384617,4466.000408,3751.6664,741.515605,417.212424,0,0.2,15.989635,24.018127,284.095419,15175.47738,314.9382,10690.63678,6650.773474,1021.153271,3018.710039,3751.6664,418.235994,408.510224,0,0,9.72577,3462.403236,3447.769923,2070.437328,1377.332595,14.633313,8.7022,0,0,5.931113,4146.538867,3837.892569,3306.703449,461.231346,69.957774,308.646298,0,0,0.2,0.332752,24.018127,284.095419
200709,百萬度,21240.30657,339.79012,17078.06076,11573.02932,1243.904086,4261.127361,2991.5944,830.86129,509.121837,0,0.201,27.425354,23.098327,271.014772,13820.20423,339.79012,9975.240496,6386.843934,824.64319,2763.753372,2991.5944,513.579212,495.809877,0,0,17.769335,3564.90782,3542.310581,2106.996829,1435.313752,22.597239,13.31196,0,0,9.285279,3855.194526,3560.509687,3079.188554,419.260896,62.060237,294.684839,0,0,0.201,0.37074,23.098327,271.014772
200710,百萬度,20856.34167,355.252,16686.18455,11093.40657,1566.920043,4025.857941,3025.493,789.41212,483.148019,0,0.213,51.532728,24.949732,229.568641,13877.39087,355.252,9992.525656,6075.772041,1195.948047,2720.805568,3025.493,504.120218,472.023839,0,0,32.096379,3321.438501,3292.072182,2053.066764,1239.005418,29.366319,11.12418,0,0,18.242139,3657.512298,3401.586715,2964.567764,370.971996,66.046955,255.925583,0,0,0.213,1.19421,24.949732,229.568641
